relative_path,kind,post_slug,title,source_url,archive_url,notes
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/04.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/05.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/07.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/08.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/10.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/11.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/12.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/13.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/15.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/17.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/19.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/21.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/23.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/24.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-3-physical-damage-taken/25.png,image,stat-testing-3-physical-damage-taken,Stat Testing - Part III (Physical Damage Taken) data image,https://kanican.livejournal.com/55915.html,https://web.archive.org/web/20230503125930/https://kanican.livejournal.com/55915.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/01.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/02.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/03.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/05.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/06.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/07.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/08.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/11.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/12.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/13.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/14.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/16.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/20.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
sources/kanican-tables/objects/images/stat-testing-4-critical-damage-bonus/21.png,image,stat-testing-4-critical-damage-bonus,Stat Testing - Part IV (Critical Damage Bonus) data image,https://kanican.livejournal.com/56489.html,https://web.archive.org/web/20260716074239/https://kanican.livejournal.com/56489.html,Excel/graph screenshot
