pcap,capture_path,bytes,sha256,n_opcodes,opcodes,service_mix
accept_leve.pcapng,sources/pcap-1.23b/objects/accept_leve.pcapng,59576,42b87e6c095db130def1de5bc382e428b4f4c12c8069c4682d6fa4bc7681967a,15,0x0001;0x00ca;0x00cc;0x00cd;0x00cf;0x00d2;0x00d3;0x012d;0x012e;0x0130;0x0131;0x0137;0x0161;0x0167;0x018d,map=16
accept_local_leve.pcapng,sources/pcap-1.23b/objects/accept_local_leve.pcapng,50676,3b4b071d88742a5d3c94a1e29ca6a4074cb6b9a9a60207118302fe22f932bd7c,15,0x0001;0x00ca;0x00cc;0x00cd;0x00cf;0x00d2;0x00d3;0x00d9;0x012d;0x012e;0x0130;0x0131;0x0137;0x0167;0x018d,map=16
local_leve_complete.pcapng,sources/pcap-1.23b/objects/local_leve_complete.pcapng,358296,4f0793f354140478725bf2c30642a3458a854460f47fb11a7af635c8881d95cd,48,0x0001;0x000c;0x00ca;0x00cb;0x00cc;0x00cd;0x00ce;0x00cf;0x00d0;0x00d2;0x00d3;0x00d6;0x00da;0x012d;0x012e;0x0130;0x0131;0x0133;0x0134;0x0137;0x0139;0x013a;0x013c;0x013d;0x0144;0x0145;0x0146;0x0147;0x0148;0x0166;0x0167;0x0168;0x0169;0x016b;0x016d;0x016e;0x0179;0x017a;0x017b;0x017c;0x017d;0x017e;0x0183;0x018b;0x018d;0x018f;0x0190;0x0191,map=52;world=5
party_battle_leve.pcapng,sources/pcap-1.23b/objects/party_battle_leve.pcapng,1429864,6327e5e1f5cbd51a9baaa9bcbacf53ca51c50a98fe4b66ae3e6bdecd9198089f,66,0x0001;0x0007;0x000c;0x000f;0x00c9;0x00ca;0x00cb;0x00cc;0x00cd;0x00ce;0x00cf;0x00d0;0x00d2;0x00d3;0x00d6;0x00da;0x00db;0x00de;0x00e2;0x012d;0x012e;0x0130;0x0131;0x0133;0x0134;0x0136;0x0137;0x0139;0x013a;0x013d;0x0143;0x0144;0x0145;0x0146;0x0147;0x0148;0x0157;0x015a;0x0166;0x0167;0x0168;0x0169;0x016b;0x016d;0x016e;0x016f;0x0177;0x0179;0x017a;0x017b;0x017c;0x017d;0x017e;0x017f;0x0183;0x0187;0x018b;0x018d;0x018f;0x0190;0x0191;0x0193;0x0194;0x0195;0x019d;0x01a4,map=70;world=8
