capture,lane_index,lane,direction,direction_event_index,frame_index,frame_stream_offset,capture_packet_index,capture_timestamp_utc,outer_timestamp_or_seq_hex,outer_frame_size,inflated_frame_body_size,subevent_index,subevent_offset,subevent_size,subevent_type,transport_source_actor_id_hex,transport_target_actor_id_hex,transport_counter_hex,inner_header_word0,opcode,inner_reserved_hex,inner_body_size,inner_body_hex,inner_payload_size,game_message_preamble_hex,preamble_word0_u32_hex,preamble_word1_u32_hex,application_size,application_hex,application_u16_le,application_u32_le,inner_body_sha256
party_battle_leve.pcapng,0,main,s2c,10455,2801,345214,4451,2012-12-31T05:06:55.707698Z,48fc5aef3b010000,56,40,0,0,40,0x0003,0x45100d4e,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da00000000006f1de1500000000000900c0400000000,16,6f1de15000000000,0x50e11d6f,0x00000000,8,00900c0400000000,0x9000 0x040c 0x0000 0x0000,0x040c9000 0x00000000,12d93bb78641e78dde824104e0553ea590ab59b12db82b121b4a16f6176d4df4
party_battle_leve.pcapng,0,main,s2c,10651,2859,352395,4516,2012-12-31T05:07:05.246610Z,18225bef3b010000,128,336,2,296,40,0x0003,0x45100d47,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000791de1500000000000900c0400000000,16,791de15000000000,0x50e11d79,0x00000000,8,00900c0400000000,0x9000 0x040c 0x0000 0x0000,0x040c9000 0x00000000,ec41193f56f5acbd03d21be4c400c733d2433a8e2265036b7b37c78e7c955883
party_battle_leve.pcapng,0,main,s2c,12819,3351,415084,5203,2012-12-31T05:08:27.050223Z,46615cef3b010000,69,80,0,0,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000cb1de150000000000200000200000000,16,cb1de15000000000,0x50e11dcb,0x00000000,8,0200000200000000,0x0002 0x0200 0x0000 0x0000,0x02000002 0x00000000,d0dc219ee384ddb02f16212d041d4fb930ab5ab50552bffe7f6535c3fde00516
party_battle_leve.pcapng,0,main,s2c,12820,3351,415084,5203,2012-12-31T05:08:27.050223Z,46615cef3b010000,69,80,1,40,40,0x0003,0x45100d5a,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000cb1de15000000000b90b000400000000,16,cb1de15000000000,0x50e11dcb,0x00000000,8,b90b000400000000,0x0bb9 0x0400 0x0000 0x0000,0x04000bb9 0x00000000,b4b3236d7355e80f3a0c63bc25bad6c31e5a89b1518495c1acf5d0a672ba26e0
party_battle_leve.pcapng,0,main,s2c,12995,3413,422371,5368,2012-12-31T05:08:46.949222Z,b7af5cef3b010000,58,40,0,0,40,0x0003,0x029b27d3,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000df1de15000000000fa0f000400000000,16,df1de15000000000,0x50e11ddf,0x00000000,8,fa0f000400000000,0x0ffa 0x0400 0x0000 0x0000,0x04000ffa 0x00000000,550d484b540dac68e050132f078e5e1f05f535dfe8a6c7e02bf3703e7127eb42
party_battle_leve.pcapng,0,main,s2c,13011,3423,423296,5390,2012-12-31T05:08:49.686215Z,52b95cef3b010000,58,40,0,0,40,0x0003,0x029b27d3,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000e11de15000000000fb0f000400000000,16,e11de15000000000,0x50e11de1,0x00000000,8,fb0f000400000000,0x0ffb 0x0400 0x0000 0x0000,0x04000ffb 0x00000000,ec9a2c1a02ca87a5fad4c53ddc1e5742acf4a91ef56b45feb65f1fea10888ed3
party_battle_leve.pcapng,0,main,s2c,13028,3429,423862,5405,2012-12-31T05:08:51.434395Z,bfbf5cef3b010000,150,272,1,56,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000e31de15000000000fa0f000400000000,16,e31de15000000000,0x50e11de3,0x00000000,8,fa0f000400000000,0x0ffa 0x0400 0x0000 0x0000,0x04000ffa 0x00000000,25a46810cbfb7cf50e1bdab1ac3945563e19084677bed58a134039d1637c4797
party_battle_leve.pcapng,0,main,s2c,13052,3439,424963,5426,2012-12-31T05:08:53.790557Z,73ca5cef3b010000,155,776,1,40,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000e61de15000000000fb0f000400000000,16,e61de15000000000,0x50e11de6,0x00000000,8,fb0f000400000000,0x0ffb 0x0400 0x0000 0x0000,0x04000ffb 0x00000000,ea5c0367a36c3979a4d552ed448a2a7e370e4a08364990b0892e5f4deec2ec98
return_to_inn.pcapng,0,main,s2c,12,6,542,33,2012-12-31T01:43:48.914368Z,8608a1ee3b010000,138,216,0,0,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000d5ede05000000000fa0f000400000000,16,d5ede05000000000,0x50e0edd5,0x00000000,8,fa0f000400000000,0x0ffa 0x0400 0x0000 0x0000,0x04000ffa 0x00000000,2a27a15cc0904da260944ed507b94be24d10b5d7bbc318781f830afd17768dca
return_to_inn.pcapng,0,main,s2c,27,14,1280,77,2012-12-31T01:43:52.914313Z,3018a1ee3b010000,55,40,0,0,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000d9ede05000000000fb0f000400000000,16,d9ede05000000000,0x50e0edd9,0x00000000,8,fb0f000400000000,0x0ffb 0x0400 0x0000 0x0000,0x04000ffb 0x00000000,df0a0a9eca53c39f91c616357dffff38a2be3a05db3f60bf872636cb65c1d643
teleport_to_camp_nine_ivies.pcapng,0,main,s2c,65,42,3544,208,2012-12-31T02:26:52.876057Z,2976c8ee3b010000,170,288,1,72,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000edf7e05000000000fa0f000400000000,16,edf7e05000000000,0x50e0f7ed,0x00000000,8,fa0f000400000000,0x0ffa 0x0400 0x0000 0x0000,0x04000ffa 0x00000000,5b50ab77feaedb18f41370cd615ed657e5acbafa29d76cee984192759e8e8361
teleport_to_camp_nine_ivies.pcapng,0,main,s2c,77,49,4223,237,2012-12-31T02:26:55.859852Z,7d81c8ee3b010000,55,40,0,0,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000eff7e05000000000fb0f000400000000,16,eff7e05000000000,0x50e0f7ef,0x00000000,8,fb0f000400000000,0x0ffb 0x0400 0x0000 0x0000,0x04000ffb 0x00000000,22e9fa02284e7f31016217ea481919091170a1d7bcecff6f8a660e8de287fef4
teleport_to_camp_tranquil.pcapng,0,main,s2c,21,20,1396,130,2012-12-31T01:31:56.878637Z,1e2b96ee3b010000,169,288,1,72,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da00000000000debe05000000000fa0f000400000000,16,0debe05000000000,0x50e0eb0d,0x00000000,8,fa0f000400000000,0x0ffa 0x0400 0x0000 0x0000,0x04000ffa 0x00000000,48a34e5aef7759424432653a7ac020ea2efcb9bcd418d3e92b0e0ea4af89c643
teleport_to_camp_tranquil.pcapng,0,main,s2c,26,24,1739,152,2012-12-31T01:31:59.691410Z,f93496ee3b010000,55,40,0,0,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da00000000000febe05000000000fb0f000400000000,16,0febe05000000000,0x50e0eb0f,0x00000000,8,fb0f000400000000,0x0ffb 0x0400 0x0000 0x0000,0x04000ffb 0x00000000,13739e5437b01fcdec96109342657cbb76ce7a7eb1ff0e1c899c2f80346e614a
teleport_to_gridania.pcapng,0,main,s2c,87,24,3184,96,2012-12-31T01:37:35.933821Z,b4569bee3b010000,170,288,1,72,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da00000000005fece05000000000fa0f000400000000,16,5fece05000000000,0x50e0ec5f,0x00000000,8,fa0f000400000000,0x0ffa 0x0400 0x0000 0x0000,0x04000ffa 0x00000000,e46cf8cea2f89ba7df68b1f81400b3ffd04235a6b156242d315e67eb0dc61e01
teleport_to_gridania.pcapng,0,main,s2c,105,32,4040,118,2012-12-31T01:37:38.749780Z,c6619bee3b010000,55,40,0,0,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da000000000062ece05000000000fb0f000400000000,16,62ece05000000000,0x50e0ec62,0x00000000,8,fb0f000400000000,0x0ffb 0x0400 0x0000 0x0000,0x04000ffb 0x00000000,77c69c24168d42d10ff230c6d4c3b683e7ca30d90959318ac48716ba43563233
war_quest_update2.pcapng,0,main,s2c,153,75,6709,142,2012-12-31T09:28:12.002635Z,40304af03b010000,63,48,0,0,48,0x0003,0x029b27d3,0x029b2941,0xfed2e000,20,0x00e1,00000000,32,1400e10000000000ac5ae1500000000000000105276e60459f52000000000000,24,ac5ae15000000000,0x50e15aac,0x00000000,16,00000105276e60459f52000000000000,0x0000 0x0501 0x6e27 0x4560 0x529f 0x0000 0x0000 0x0000,0x05010000 0x45606e27 0x0000529f 0x00000000,281482177253fdfa9a69a271ec72cad9eab3209f5852a32f3da79bd6dbec881a
