occurrence,capture,lane_index,lane,direction,direction_event_index,capture_completion_packet,frame_index,subevent_index,same_frame_target_ordinal,same_frame_target_count,subopcode,packet_header_clock_u32,application_value_u32,derived_modular_sum_u32,special_sentinel,header_clock_minus_capture_completion_us,derived_sum_minus_capture_completion_us,header_clock_minus_outer_floor_seconds,outer_value_scaled_minus_capture_completion_us,prior_same_pair_distance
1,gridania_to_coerthas.pcapng,0,main,s2c,6549,3962,1298,1,1,1,0x14,1356919954,15,1356919969,no,-556771,14443229,0,201229,
2,move_out_of_room.pcapng,0,main,s2c,24,45,11,0,1,1,0x14,1356917205,15,1356917220,no,39256,15039256,0,214256,
3,party_battle_leve.pcapng,0,main,s2c,13072,5442,3447,0,1,1,0x14,1356930536,2,1356930538,no,192541,2192541,0,219541,
4,return_to_inn.pcapng,0,main,s2c,34,94,18,0,1,2,0x12,1356918235,900,1356919135,no,13696,900013696,0,140696,
5,return_to_inn.pcapng,0,main,s2c,35,94,18,1,2,2,0x14,1356918235,2,1356918237,no,13696,2013696,0,140696,
6,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,84,254,54,0,1,1,0x14,1356920818,2,1356920820,no,-63882,1936118,0,-31882,
7,teleport_to_camp_tranquil.pcapng,0,main,s2c,29,165,27,0,1,1,0x14,1356917521,2,1356917523,no,-438576,1561424,0,210424,
8,teleport_to_gridania.pcapng,0,main,s2c,117,134,35,0,1,1,0x14,1356917860,2,1356917862,no,-626868,1373132,0,210132,
9,war_quest_update2.pcapng,0,main,s2c,1436,837,632,0,1,1,0x14,1356946181,2,1356946183,no,-528643,1471357,0,-24643,
