capture,direction,lane_index,frame_index,subevent_index,subevent_offset,opcode,slot,actor_id,actor_high_nibble,record_stride,field_at_record_plus_8,event_role_match,matching_event_names
gridania_to_coerthas.pcapng,s2c,0,526,35,3688,0x0183,0,1152386617,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,527,13,1560,0x0183,0,1152387447,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,530,9,1016,0x0183,0,1152386614,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,547,9,1016,0x0183,0,1152386344,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,575,9,1016,0x0183,0,1152386569,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,581,6,736,0x0183,0,1152386945,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,587,9,1016,0x0183,0,1152386951,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,587,27,2936,0x0183,0,1152387462,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,592,9,1016,0x0183,0,1152386967,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,592,27,2936,0x0183,0,1152387450,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,593,7,904,0x0183,0,1152387472,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,597,9,1016,0x0183,0,1152387471,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,597,27,2936,0x0183,0,1152387470,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,603,9,1016,0x0183,0,1152386971,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,603,27,2936,0x0183,0,1152387468,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,606,10,1056,0x0183,0,1152386969,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,606,28,2976,0x0183,0,1152386970,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,607,7,904,0x0183,0,1152387466,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,677,9,1016,0x0183,0,1152388281,4,12,1,no,
