pcap,capture_path,bytes,sha256,n_opcodes,opcodes,service_mix
combat_autoattack.pcapng,sources/pcap-1.23b/objects/combat_autoattack.pcapng,82908,2f677ab61047b25c4168a3dd9496f372d48de3bba018d582dd5a968b9272f7b2,46,0x0001;0x000c;0x00ca;0x00cb;0x00cc;0x00cd;0x00ce;0x00cf;0x00d0;0x00d2;0x00d3;0x00d6;0x00db;0x00de;0x012d;0x0131;0x0133;0x0134;0x0137;0x0139;0x013a;0x013d;0x0144;0x0145;0x0146;0x0147;0x0148;0x0157;0x015a;0x016b;0x016d;0x016e;0x0179;0x017a;0x017b;0x017c;0x017d;0x017e;0x0183;0x0187;0x018b;0x018d;0x018f;0x0190;0x0191;0x0195,map=49;world=5
combat_skills.pcapng,sources/pcap-1.23b/objects/combat_skills.pcapng,63028,7fe66d92f6f62584e57562e51355d310546935690e0b96c2c689b83bbe8a07a7,32,0x0001;0x000c;0x00ca;0x00cc;0x00cd;0x00cf;0x00d0;0x00d2;0x00d3;0x00db;0x00de;0x012d;0x0131;0x0134;0x0137;0x0139;0x013a;0x0144;0x0146;0x0147;0x0148;0x015a;0x016d;0x016e;0x0177;0x0187;0x018b;0x018d;0x018f;0x0190;0x0191;0x0195,map=33
battle_mode_passive_mode.pcapng,sources/pcap-1.23b/objects/battle_mode_passive_mode.pcapng,12776,5a8290df1d11781f4f5fa1f6990651c679e57ee3b8c5549021f06767bb172d4b,9,0x0001;0x00ca;0x00cb;0x00cf;0x012d;0x0131;0x0134;0x0139;0x018d,map=10
action_and_traits.pcapng,sources/pcap-1.23b/objects/action_and_traits.pcapng,37584,c3d30fe46d69996dc74e4864245c42675cde2388525c03063dac180df528352f,11,0x0001;0x00ca;0x00cf;0x00d0;0x012d;0x012f;0x0131;0x0137;0x0139;0x0144;0x0159,map=12
